;Id;Метро;Расстояние до метро;Время до метро;Улица;Дом;Стены;Комнат;Общая площадь;Жилая площадь;Кухня;Этаж;Этажность;Лифт (пасс.);Лифт (груз.);Балкон;Лоджия;С/у (разд.);С/у (совм.);lng;lat;Цена (руб.);валюта цены;Новостройка
410;2466877;Менделеевская;185;3;Новослободская улица;28;монолит-кирпич;2;76.0;39.0;12.0;6;6;0;1;0;1;0;2;55.783483;37.597809000000005;31,275,000;2;0
411;2467648;Смоленская;816;12;Смоленский бульвар;6-8;панель;4;91.0;63.0;8.0;14;17;1;2;1;0;1;0;55.740517000000004;37.586338;27,700,000;2;0
412;2468898;;0;0;улица Липчанского;3;панель;1;38.0;19.0;7.2;17;17;1;1;1;0;0;1;55.705447;37.935684;4,599,000;2;0
413;2470823;Парк Культуры;387;6;переулок Померанцев;9;монолит-кирпич;3;91.3;57.0;10.0;2;5;0;0;0;0;1;0;55.738698;37.593039000000005;33,500,000;2;0
414;2471616;Улица 1905 года;1260;19;улица Литвина-Седого;3;нет данных;3;80.0;52.5;7.0;1;5;1;0;0;0;1;0;55.761233999999995;37.542734;14,199,900;2;0
415;2471633;Фрунзенская;599;9;Фрунзенская набережная;32;нет данных;5;170.0;96.0;12.0;8;8;1;0;3;0;2;0;55.723521;37.586940000000006;154,407,360;1;0
416;2472676;Фили;82;1;Новозаводская улица;2К1;кирпич;2;43.0;31.0;6.0;5;5;0;0;1;0;0;1;55.74728199999999;37.514958;9,000,000;2;0
417;2472905;Кропоткинская;762;11;Молочный переулок;1;монолит-кирпич;5;430.0;430.0;0.0;5;5;1;0;0;0;0;0;55.738561;37.602067;834,275,000;1;0
418;2473024;Красносельская;433;6;Малый Краснопрудный тупик;2;не заполнено;1;45.0;22.0;12.0;15;18;2;2;0;1;1;0;55.78266800000001;37.661033;12,500,000;2;0
419;2475277;Улица Горчакова;839;13;Южнобутовская улица;69;кирпич;3;128.5;71.1;13.5;3;8;1;1;0;3;1;1;55.535162;37.527696;20,950,000;2;0
420;2476864;Цветной бульвар;652;10;переулок Печатников;15А;кирпич;4;110.0;64.0;28.0;4;7;1;0;2;0;0;1;55.767539;37.627885;49,500,000;2;0
421;2480217;Кунцевская;1056;16;Можайское шоссе;6К1;монолит;3;112.0;62.1;15.4;12;23;1;1;2;0;2;0;55.72245600000001;37.438781;35,000,000;2;0
422;2480396;Кунцевская;736;11;Молодогвардейская улица;8к1;монолит-кирпич;4;184.0;0.0;0.0;13;13;1;1;1;0;0;0;55.735829;37.439085999999996;56,150,500;2;0
423;2480399;Кунцевская;736;11;Молодогвардейская улица;8к1;не заполнено;3;108.0;0.0;0.0;5;13;1;1;1;0;0;0;55.735829;37.439085999999996;31,300,000;2;0
424;2485731;Университет;1796;27;Мичуринский проспект;5;не заполнено;2;80.0;25.0;0.0;10;11;1;1;0;0;0;1;55.702906000000006;37.511508;51,469,120;1;0
425;2486617;Пушкинская;353;5;Дегтярный переулок;10С2;кирпич;4;125.0;90.0;0.0;2;4;1;0;0;0;0;2;55.768765;37.604797999999995;77,203,680;1;0
426;2491485;Аннино;2975;45;Востряковский проезд;5К2;панель;3;50.0;34.0;6.0;3;9;1;0;0;1;1;0;55.582665000000006;37.644279;6,700,000;2;0
427;2492689;Щелковская;186;3;Уральская улица;1;панель;2;44.0;27.0;6.0;6;12;1;0;1;0;1;0;55.81161899999999;37.797819;6,800,000;2;0
428;2493538;Тропарево;1058;16;проспект Вернадского;92К1;монолит;5;255.0;128.0;0.0;10;21;1;2;0;0;0;3;55.655209;37.475935;99,445,580;1;0
429;2496193;Кропоткинская;949;14;улица Пречистенка;25;нет данных;3;90.0;62.0;12.0;4;6;1;0;0;0;1;1;55.740522;37.591674;70,770,040;1;0
430;2497045;Сходненская;891;13;улица Свободы;50С3;монолит-кирпич;5;542.0;300.0;15.0;3;4;0;0;1;0;2;4;55.849367;37.455022;78,000,000;2;0
431;2497276;Университет;2391;36;Мичуринский проспект;6к2;не заполнено;4;215.0;121.0;20.0;6;16;1;1;3;0;1;2;55.714039;37.524623999999996;153,351,155;1;0
432;2503620;Динамо;784;12;Петровско-Разумовский проезд;4А;блочный;2;46.0;32.0;6.0;3;5;0;0;1;0;0;0;55.79264499999999;37.570572999999996;10,150,000;2;0
433;2504441;Аэропорт;1009;15;Часовая улица;18;панель;1;37.5;19.0;8.0;15;16;1;1;0;1;0;1;55.809484;37.52925;8,200,000;2;0
434;2510020;Тушинская;2011;30;Походный проезд;9К2;блочный;2;47.0;31.0;9.0;13;14;1;1;1;0;1;0;55.838713;37.415119;8,000,000;2;0
435;2515421;Перово;1110;17;3-я Владимирская улица;9А;кирпич;5;130.0;90.0;8.0;1;5;0;0;0;0;2;0;55.760681999999996;37.788323999999996;20,000,000;2;0
